Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,164.330002,172.250000,163.350006,172.029999,152.752411,3999400
2019-01-03,170.660004,171.770004,168.289993,169.509995,150.514740,4060200
2019-01-04,172.990005,176.000000,171.100006,175.050003,155.433975,3788300
2019-01-07,175.229996,177.830002,172.270004,176.020004,156.295288,3152100
2019-01-08,177.779999,178.100006,172.899994,175.369995,155.718109,2692700
2019-01-09,176.100006,177.690002,174.910004,176.470001,156.694855,3321400
2019-01-10,175.660004,178.070007,175.500000,176.000000,156.277481,2808700
2019-01-11,175.100006,177.039993,172.419998,176.929993,157.103287,3182700
2019-01-14,174.520004,179.539993,174.100006,178.720001,158.692673,3361700
2019-01-15,178.320007,179.990005,176.399994,179.910004,159.749359,2911800
2019-01-16,187.000000,198.149994,185.600006,197.080002,174.995285,15194200
2019-01-17,195.949997,199.800003,192.830002,199.089996,176.780045,8177000
2019-01-18,200.380005,203.000000,196.910004,202.539993,179.843445,5650900
2019-01-22,200.500000,201.470001,195.919998,197.679993,175.528076,4648500
2019-01-23,197.550003,198.089996,194.529999,196.899994,174.835449,3410700
2019-01-24,196.220001,199.679993,195.759995,197.800003,175.634613,2631800
2019-01-25,199.830002,201.190002,199.419998,200.740005,178.245163,3275000
2019-01-28,197.990005,200.070007,197.100006,199.720001,177.339447,2369600
2019-01-29,199.000000,201.970001,197.869995,200.500000,178.032074,2694100
2019-01-30,200.899994,203.289993,199.649994,202.479996,179.790161,2773300
2019-01-31,200.100006,202.350006,196.949997,198.009995,175.821091,5604500
2019-02-01,198.000000,199.639999,196.539993,196.539993,174.515854,3174200
2019-02-04,195.800003,197.759995,194.789993,197.720001,175.563568,2400200
2019-02-05,198.119995,199.330002,196.860001,198.009995,175.821091,2601000
2019-02-06,197.179993,199.059998,195.830002,196.619995,174.586823,2063100
2019-02-07,195.279999,195.880005,191.050003,193.070007,171.434662,2948800
2019-02-08,191.720001,192.619995,188.220001,191.669998,170.191513,2757500
2019-02-11,192.880005,193.320007,191.070007,191.330002,169.889633,2056500
2019-02-12,193.050003,195.649994,193.000000,194.490005,172.695541,2392900
2019-02-13,195.919998,198.779999,194.600006,194.690002,172.873123,2757300
